"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
40191,5297,10877,25789,14402,9.43259e+12,59.4752,13555.6,40191,5295,72,29314,29314,21949,13321,13031
85412,21607,27323,54071,31341,8.7743e+12,58.7326,32063,85412,13296,72,58089,58089,53103,46209,44783
95426,5368,22190,61886,33540,9.90599e+12,60.1373,27970.8,95426,10804,72,73236,73236,48686,33354,18441
12055,1846,2874,7812,4243,9.90178e+12,59.6715,3941.73,12055,1399,72,9181,9181,7937,6314,6001
56327,1779,26191,34217,22110,6.91453e+12,56.1683,28929.3,56327,12754,72,30136,30136,16894,9883,937
68860,10373,16056,44640,24220,9.91012e+12,60.1135,20424.1,68860,7822,72,52804,52804,44589,44415,34620
33745,1290,14660,20683,13062,7.3186e+12,55.709,16556.7,33745,7135,72,19085,19045,8189,7503,1520
12764,1518,5854,7770,4994,7.07195e+12,56.2245,6716.48,12764,2845,72,6910,6910,3894,1762,1124
67235,7810,17552,43264,23971,9.55015e+12,59.668,21702.6,67235,8550,72,49683,49683,37046,22156,21591
47948,5323,13061,30756,17192,9.41323e+12,59.4601,16149.7,47948,6363,72,34887,34887,24681,17556,15294
86355,2400,27821,54628,31727,8.75715e+12,58.71,32590.1,86355,13548,72,58534,58534,34632,14313,5361
88721,11165,30338,55823,32898,8.50443e+12,58.3038,35096.9,88721,14763,72,58383,58383,44135,29427,25601
49379,11438,11493,32016,17363,9.92228e+12,60.0931,14799,49379,5599,72,37886,37886,37817,37817,37818
31907,5531,10430,20162,11745,8.7011e+12,58.343,12514.6,31907,5060,72,21477,21477,17624,13086,13126
72742,9062,16952,47161,25581,9.90439e+12,60.1107,21531.5,72742,8248,72,55790,55790,46307,33343,30278
67221,15485,15633,43585,23636,9.9071e+12,60.1136,19920.9,67221,7604,72,51588,51588,51442,51318,51324
49718,14244,14700,31687,18031,9.11235e+12,59.0931,17798.3,49718,7161,72,35018,35018,34354,33665,33722
31489,5314,7364,20423,11066,9.91621e+12,60.0007,9647.38,31489,3583,72,24125,24125,21197,21129,17771
39233,2647,17227,24013,15220,7.25008e+12,55.7839,19352.6,39233,8379,72,22006,22006,12963,3130,1760
57063,11677,17796,36210,20853,8.89462e+12,58.847,21205,57063,8666,72,39267,39267,34343,28637,28471
98379,23100,24060,63585,34794,9.75852e+12,59.952,29911,98379,11720,72,74319,74319,73015,72977,71597
84368,24972,26854,53429,30939,8.802e+12,58.7752,31556.7,84368,13074,72,57514,57514,55754,53429,52933
24626,4840,7788,15612,9014,8.853e+12,58.6287,9500.87,24626,3783,72,16838,16838,14589,11588,10941
14960,2383,3538,9699,5261,9.92385e+12,59.7805,4801.31,14960,1719,72,11422,11422,10007,9688,7810
67784,25432,29242,41577,26207,7.36206e+12,56.9607,32593.4,67784,14245,72,38542,38542,36813,34891,34919
79299,14638,18373,51433,27866,9.92293e+12,60.1521,23310.5,79299,8951,72,60926,60926,55414,55302,48816
23148,7083,7719,14601,8547,8.62122e+12,52.8408,9321.1,23148,3746,72,15429,15429,14953,14380,14594
70603,10657,22530,44711,25892,8.78923e+12,58.7275,26567.5,70603,10963,72,48073,48073,30964,10727,9931
25490,5781,5992,16527,8963,9.88935e+12,59.9568,7920.34,25490,2911,72,19498,19498,19257,19015,19015
75826,42593,42732,44736,31090,5.63814e+12,54.8555,45689.1,75826,20809,72,33094,33094,33004,32887,32959
49532,11643,28113,29187,20345,5.60488e+12,54.7769,30188.7,49532,13695,72,21419,21419,16077,11070,9864
18724,3218,9284,11279,7445,6.54935e+12,54.3824,10378.3,18724,4506,72,9440,9440,5832,3671,2951
