"data_size","cache_size","hit","miss"
544140,10032,4341666,1422
548438,140835,4157677,88992
567341,55611,4322327,160790
411301,2718,3278992,8698
166526,27474,1291817,12917
116089,21762,895920,11030
821835,2853,6540182,31645
279315,796,2225698,8026
240177,165,1905343,15908
67378,2007,536547,470
370478,10895,2856124,96805
96030,14,768224,2
931290,43,6737779,712498
795284,27576,6171965,162731
150177,12393,1165653,23370
679999,23,5439926,43
552071,80,4136764,279724
167738,22992,1310970,7942
506457,111,3938431,113114
518648,127925,3939377,81882
691968,42037,5271697,222010
368612,24,2948860,12
25922,505,196279,10592
266895,76787,2031246,27127
674295,274,5392212,1874
806804,148764,6247938,57730
879858,4,6841338,197522
857682,55537,6662666,143253
521644,49154,3979413,144585
262189,54923,2036663,5926
596046,75254,4557854,135260
513484,109561,3941951,56360
683383,146822,5213031,107211
14397,2075,111736,1365
338162,21,2705259,16
798382,4,6211607,175445
487641,16094,3727355,157679
716259,278502,5446411,5159
82671,13794,639619,7955
381522,112122,2927311,12743
628005,134966,4867070,22004
599231,68211,4632297,93340
441898,63459,3374087,97638
455047,96463,3534911,9002
35494,6142,275432,2378
584753,31,4677941,52
20393,47,148457,14640
622529,46449,4825588,108195
271360,88291,2074278,8311
324198,469,2579368,13747
557445,41648,4227045,190867
812712,13910,6486223,1563
744485,29377,5684816,241687
157126,25365,1216720,14923
973043,28,7784261,55
521068,6360,4153873,8311
724937,1166,5074559,723771
273914,33,2191271,8
49820,149,393296,5115
484693,30,3877479,35
134048,4326,1021798,46260
768186,31401,5805654,308433
224954,17042,1747572,35018
715688,6,5026549,698949
404723,5,3165750,72029
399612,24908,3145691,26297
495596,29499,3841026,94243
135590,21702,1053215,9803
122920,3507,949475,30378
324919,20869,2454320,124163
731141,195339,5590563,63226
268582,34684,2067748,46224
407746,40965,3167424,53579
582275,208319,4445277,4604
767155,7411,5953356,176473
613250,70727,4763909,71364
458519,87858,3489557,90737
228947,1,1695487,136088
451352,18422,3436427,155967
708594,3170,5374890,290692
26485,2,196765,15113
225631,7744,1744681,52623
680163,32949,5370082,38273
660143,22572,4621001,637571
694061,11230,5538211,3047
488134,24,3905009,39
95531,18405,738390,7453
302870,70107,2350944,1909
943786,280750,7197644,71894
621702,131704,4759811,82101
683196,49107,5188582,227879
977149,260429,7459557,97206
976067,57605,7455482,295449
969476,25108,7559313,171387
739326,23868,5743302,147438
609637,7922,4682845,186329
975533,13288,7783023,7953
113706,43594,858002,8052
482943,39307,3637818,186419
903695,732495,6325865,171200
729644,26,5837080,46
995620,64,7964876,20
207595,83,1566674,94003
726446,11526,5467436,332606
296339,9230,2281680,79802
11286,10,90200,78
256532,26235,1967845,58176
909676,140866,6927215,209327
490374,3145,3658813,261034
345742,80307,2674420,11209
565152,3285,4507029,10902
121426,29287,926494,15627
181653,16685,1411031,25508
405810,23398,3188103,34979
402008,19475,3108336,88253
383463,5617,3054776,7311
847157,130,6676885,100241
312309,38754,2412723,46995
244329,10419,1854644,89569
423220,80,3157335,228345
401967,4003,3204118,7615
964607,113452,7327075,276329
535737,144545,4076113,65238
845801,226818,6458589,81001
36473,116,290277,1391
215440,2406,1718655,2459
355822,90785,2711709,44082
776121,83,5790827,418058
143103,17478,1085470,41876
818378,161215,6357369,28440
257580,4020,2051044,5576
126689,37528,969289,6695
724976,13,5799744,51
218378,2884,1674964,69176
919591,174,7356199,355
348558,57553,2668391,62520
628684,65492,4817520,146460
330840,52450,2482362,111908
788091,45360,6066245,193123
614872,301093,4611543,6340
225141,5724,1714576,80828
90608,167,719004,5693
642830,17921,5117168,7551
757409,81274,5724931,253067
662012,23307,5268811,3978
842561,126,6633930,106432
429329,138,3423278,11216
744923,1909,5617043,340432
879928,273865,6699950,65609
262360,58864,1991038,48978
164647,8871,1278921,29384
682131,259189,5155936,41923
350829,63393,2687675,55564
904499,66,7235872,54
780991,45177,6030776,171975
166715,5695,1283842,44183
658727,35,5269746,35
816282,97328,6206210,226718
88537,17162,676836,14298
830093,169851,6448382,22511
468028,89204,3635700,19320
241802,8179,1832832,93405
738900,110682,5645053,155465
478717,41,3829671,24
872553,37258,6778184,164982
72981,16874,560874,6100
907393,37,6511757,747350
833618,26252,6372609,270083
734619,13552,5861522,1878
646686,145,5123996,49347
335147,4871,2670376,5929
444511,39773,3450446,65869
319956,39,2559602,7
134726,170,1077354,284
193526,1879,1541356,4973
538778,13812,4179645,116767
324339,584,2571438,22690
767102,143,6073116,63557
516231,36739,3889909,203200
36407,20522,254849,15885
851245,235772,6503334,70854
853916,37,6124862,706429
267387,4400,2133267,1429
204080,39126,1585279,8235
386230,31194,2996025,62621
76010,10594,570827,26659
579120,4393,4396028,232539
793925,8858,6098501,244041
660636,50483,5063304,171301
641311,110667,4981874,37947
156870,49039,1202418,3503
96366,74,721676,49178
564260,117813,4345606,50661
707169,186217,5434398,36737
304528,57499,2313982,64743
187583,1213,1493896,5555
292135,2915,2240635,93530
195314,36342,1481525,44645
265588,53764,2039072,31868
390950,88592,2965350,73658
618639,132455,4712818,103839
897328,35572,6964718,178334
709255,151,5642657,31232
671770,147515,5218440,8205
164154,15316,1243174,54742
290702,65981,2250708,8927
856519,150,6811864,40138
633620,15743,5049739,3478
932293,9038,7428826,20480
215069,35345,1682167,3040
207855,36005,1586529,40306
800141,7521,6384062,9545
882058,55,7056389,20
671246,27,5369910,31
291772,56022,2258849,19305
13860,30,98713,12137
821008,10578,6315543,241943
161945,14177,1257971,23412
510641,10465,4073226,1437
72952,10990,566663,5963
262286,62,1956148,142078
402299,69212,3067147,82033
514368,68066,3989704,57174
959081,74,7200407,472167
103253,27364,795154,3506
790083,314918,6003295,2451
99154,28640,749957,14635
902288,64815,6874248,279241
210454,9790,1629908,43934
658982,7,5233843,38006
617426,6,4892608,46794
475646,20048,3691698,93422
200340,5479,1515856,81385
735293,169335,5711953,1056
210172,27779,1632599,20998
959792,25720,7647731,4885
802691,20171,6181845,219512
796642,35816,6051338,285982
148857,2826,1187702,328
415693,123,3270015,55406
76417,10475,573899,26962
473926,55154,3649948,86306
321065,137,2538128,30255
103003,19457,791709,12858
406232,90568,3155668,3620
671540,8159,5359223,4938
20509,67,161952,2053
58584,13767,443904,11001
91442,18321,696889,16326
783601,119,6152993,115696
455028,941,3621149,18134
922031,4379,7355064,16805
868464,231937,6643624,72151
211745,3118,1689646,1196
130386,11894,982530,48664
424566,2903,3382904,10721
460654,52227,3575776,57229
167217,1621,1332776,3339
795025,188,6358744,1268
843910,27961,6298694,424625
