"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
87799,3647,3980,57024,30775,2.92402e+13,695.508,12493.1,87799,1254,396,83819,83819,83819,83819,80629
38782,2640,2877,27562,11220,4.64886e+13,1081.75,8769.42,38782,1048,314,35905,35749,35406,35391,34728
7672,510,617,4473,3199,3.17925e+13,186.867,1337.51,7672,134,104,7055,7045,6827,6916,6337
62613,659,3661,42741,19872,4.52209e+13,1037.3,10560.3,62613,1188,426,56960,55708,39424,11447,10184
24542,221,1650,17651,6891,3.10043e+13,520.449,5017.71,24542,513,194,21735,19838,12296,4232,3954
28725,6763,13032,23507,5218,2.53077e+13,1081.88,17341.2,28725,3379,15,15693,13930,13095,14385,10125
14277,602,940,9249,5028,3.01732e+13,385.414,2606.13,14277,316,171,13337,13281,13159,13142,12431
34084,226,1160,21938,12146,2.91594e+13,508.629,4029.52,34084,395,260,30463,28474,26383,24636,13238
12536,1185,1568,8434,4102,2.20861e+13,304.792,3403.34,12536,550,152,10968,10968,10902,10964,9294
54625,1316,2315,35822,18803,3.63008e+13,553.928,6660.04,54625,548,334,52310,52290,47202,43965,25466
20835,1159,2817,15115,5720,6.23737e+13,992.878,6056.12,20835,901,245,17719,16428,11900,12458,11760
32950,1112,1885,19769,13181,3.16322e+13,340.155,4605.96,32950,415,223,31065,31015,25334,24216,18467
61370,258,2161,39863,21507,3.27631e+13,579.547,6641.49,61370,558,321,54910,50833,45346,5223,4369
10140,574,2361,7785,2355,6.88516e+13,362.303,3905.19,10140,492,174,7779,7447,3050,3242,1279
64988,1211,3573,46414,18574,3.92471e+13,1122.02,11992.4,64988,1226,369,60507,58040,51651,51520,32096
32960,465,3610,23895,9065,6.40597e+13,1217.2,8458.27,32960,1115,455,26570,25005,12991,9507,8107
47678,1089,3205,33724,13954,2.71683e+13,796.689,8819.13,47678,848,278,44415,42979,34347,31275,15723
91588,6601,16745,64399,27189,2.58574e+13,367.563,23819.7,91588,1862,313,74843,74791,61840,62820,60433
3543,706,737,2361,1182,5.1525e+13,197.649,1342.24,3543,247,88,2806,2806,2806,2799,2779
25932,712,2057,18829,7103,2.88896e+13,409.833,5476.44,25932,470,183,23875,23516,17276,18889,9693
84576,4002,4171,58321,26255,4.92911e+13,1309.56,13695.2,84576,1815,475,80405,80397,79819,77839,75952
32096,406,3221,27293,4803,4.21173e+13,17.8981,3908.84,32096,1614,1608,28875,28874,12016,21846,19556
22737,1028,1479,14538,8199,3.08591e+13,463.049,3988.19,22737,386,240,21258,21250,20328,20608,17847
94789,2908,2974,60037,34752,3.02596e+13,730.77,10246.5,94789,687,453,91815,91815,91800,91815,91562
6491,116,1012,4189,2302,2.97477e+13,222.813,1973.65,6491,257,166,5134,4772,4070,3543,1264
17111,912,1582,10054,7057,3.18418e+13,249.996,2940.05,17111,360,139,15529,15529,15419,15516,15222
33810,762,1132,21733,12077,2.84179e+13,495.577,3968.37,33810,414,261,32678,32630,30771,30537,29263
19531,686,907,12616,6915,2.89529e+13,464.789,2919.41,19531,334,209,18624,18524,17946,17922,17432
52749,396,3428,37708,15041,3.88673e+13,940.567,10552.4,52749,1013,335,45885,43751,27231,18227,5021
13063,503,1271,8603,4460,3.83429e+13,370.883,2962.06,13063,385,185,11771,11133,10067,2449,2806
19905,2164,2489,13683,6222,4.01727e+13,846.78,5848.93,19905,803,245,17416,17383,17075,17185,16905
54474,1971,2103,35060,19414,2.95402e+13,596.509,6801.76,54474,549,336,52371,52371,52281,52323,52239
26381,966,2975,19437,6944,6.63733e+13,1233.01,7076.67,26381,909,263,22209,20751,12274,13596,6981
98174,3540,4412,70070,28104,4.53309e+13,1651.72,16417,98174,1887,580,93762,93534,90487,83982,84885
3690,137,686,2460,1230,5.07321e+13,208.301,1315.72,3690,243,76,2698,2264,1939,1817,467
69154,2978,3611,49737,19417,4.1264e+13,1245.88,12520.9,69154,1321,388,65543,65530,61571,61577,60962
25898,287,1099,16733,9165,3.00074e+13,517.831,3596.03,25898,356,234,23529,21810,20475,18727,11937
31888,657,1714,20488,11400,3.00114e+13,542.878,5147.26,31888,478,282,30101,29436,26701,26251,16673
10196,572,748,6600,3596,2.9456e+13,363.406,2025.16,10196,296,168,9448,9176,9099,8791,8315
