"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
15592,568,987,11158,4434,3.67174e+13,518.466,3009.11,15592,248,227,14393,13603,13198,12328,9712
45429,511,2421,31744,13685,3.64911e+13,596.965,7125.18,45429,569,357,42500,41246,26870,19643,15255
7230,567,833,4912,2318,3.37016e+13,237.579,1989.48,7230,228,173,6397,6326,5842,4770,4964
26905,430,1333,19181,7724,3.66313e+13,631.766,4306.68,26905,331,282,24956,24212,22162,18164,13748
31086,95,2136,22134,8952,3.75951e+13,469.919,5867.41,31086,501,276,24338,20795,15401,5586,4307
72308,759,2964,50194,22114,3.59628e+13,1032.67,10140.3,72308,526,620,68259,65995,54925,37677,27054
78894,1513,3357,54447,24447,3.32063e+13,830.492,11247.3,78894,739,489,75537,75181,58395,44406,37614
56972,831,2567,39700,17272,3.5975e+13,779.577,8254.04,56972,490,426,54092,52681,40247,28726,24718
91466,2420,3021,63116,28350,3.51005e+13,1024.21,11318.7,91466,626,520,88445,88383,87708,86666,80805
80015,651,2780,58075,21940,3.71628e+13,1160.9,10518.5,80015,695,467,74651,71763,62329,41878,31764
71871,76,2268,49895,21976,3.36079e+13,981.626,8712.89,71871,478,428,57113,46558,32277,8075,6068
22370,393,1629,15623,6747,3.25011e+13,548.212,4488.04,22370,305,376,20280,19287,17768,13835,5997
31269,972,1807,21955,9314,3.70965e+13,585.59,5498.64,31269,380,348,29462,29262,27054,25074,20978
21002,1269,1823,14789,6213,3.77655e+13,403.315,4835.78,21002,310,350,19179,19170,18962,18715,15500
39751,270,2424,27464,12287,3.53392e+13,538.073,6797.07,39751,463,266,35614,31162,20348,9335,6601
67136,2036,3162,44828,22308,3.34723e+13,775.542,9896.73,67136,723,475,63974,63906,61349,56630,57052
41817,1604,2383,29389,12428,3.65094e+13,645.242,6981.28,41817,434,376,39434,39394,38532,36575,31367
