"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
13901,119,159,8589,5312,5.86961e+18,104.508,1087.08,13901,70,74,13740,13687,10715,11959,10483
87298,30,282,53981,33317,5.87091e+18,149.888,3115.86,87298,114,127,76200,63341,11661,22375,10716
34737,155,315,21539,13198,5.87223e+18,111.721,2280.82,34737,102,97,34376,34278,32452,32203,31659
60783,69,315,37549,23234,5.87336e+18,157.37,2990.23,60783,134,134,58821,57086,21686,24691,24776
81041,256,302,50003,31038,5.8707e+18,165.443,3111.85,81041,114,122,80739,80649,75215,78363,77163
54825,322,381,33932,20893,5.87087e+18,170.817,2962.43,54825,122,125,54444,54350,49245,52231,49496
45595,218,244,28141,17454,5.87004e+18,137.632,2213.73,45595,91,93,45351,45298,44755,45094,45166
78430,147,315,48401,30029,5.87258e+18,169.053,3318.67,78430,139,138,77769,77275,56285,58437,58248
30900,36,217,19094,11806,5.87033e+18,118.568,1904.64,30900,86,87,27411,23599,7214,9444,8333
28490,67,268,17693,10797,5.87754e+18,187.098,1992.46,28490,127,128,26689,25055,6425,10373,6030
80954,242,291,50026,30928,5.87025e+18,187.902,2994.83,80954,114,121,80663,80640,75804,78735,77976
32966,96,199,20357,12609,5.86943e+18,105.069,1935.75,32966,86,84,32715,32650,23225,22000,21513
19905,121,396,12325,7580,5.87072e+18,154.213,1862.37,19905,94,95,19398,19113,14136,13261,14327
31922,82,263,19778,12144,5.87211e+18,195.169,1912.75,31922,102,112,31062,30421,11227,13588,13415
74066,110,326,45853,28213,5.87305e+18,189.19,3225.7,74066,134,127,73250,72437,39943,38739,51852
15794,94,151,9686,6108,5.87069e+18,88.1499,1112.62,15794,69,74,15609,15486,11012,10301,13245
41067,38,216,25391,15676,5.87007e+18,163.483,1957.06,41067,97,103,38321,35547,8166,12315,10089
29378,74,195,18132,11246,5.87023e+18,100.543,1688.79,29378,80,80,29056,28828,15484,14999,13686
87958,237,293,54319,33639,5.87032e+18,162.417,3055.52,87958,110,118,87665,87626,84893,86518,86496
92485,212,298,57153,35332,5.87059e+18,200.811,3286.31,92485,126,129,92155,91906,82281,86481,85005
84786,45,306,53430,31356,5.89711e+18,236.706,3945.58,84786,211,206,63580,44325,12609,17412,14326
74736,139,315,46122,28614,5.87278e+18,171.858,3249.62,74736,138,136,73992,73365,48424,51698,48428
56336,117,266,34627,21709,5.87129e+18,177.48,2446.51,56336,117,120,55674,55050,29972,28168,30291
59107,65,270,36337,22770,5.87104e+18,165.026,2510.8,59107,115,121,57578,56454,13152,21355,18281
37910,81,286,23356,14554,5.8712e+18,108.692,2109.53,37910,84,89,37472,37251,21371,19851,23258
7694,69,150,4731,2963,5.86821e+18,80.0078,811.046,7694,63,65,7486,7373,4339,4532,4732
81546,173,302,50267,31279,5.87056e+18,161.177,3118.05,81546,114,121,81125,80882,61290,58688,63708
93579,181,277,57612,35967,5.87098e+18,188.462,3189.64,93579,136,141,93115,92685,65357,66839,70038
8353,128,208,5142,3211,5.87119e+18,86.0493,920.96,8353,71,73,8145,8074,6110,6157,5195
17445,230,255,10938,6507,5.89223e+18,187.735,1728.22,17445,139,138,17190,17150,15275,16114,15381
51738,37,290,32004,19734,5.87116e+18,174.059,2457.83,51738,108,122,47573,43458,8030,13210,9362
81091,23,316,50036,31055,5.87282e+18,175.711,3357.5,81091,139,140,64410,48559,10308,18703,10713
12066,42,197,7464,4602,5.86872e+18,97.7623,1210.43,12066,81,77,10974,9659,3648,4016,3482
55966,73,300,34493,21473,5.87149e+18,140.193,2624.15,55966,104,108,54955,54159,22247,24173,27145
36150,22,173,22328,13822,5.86986e+18,99.4396,1795.38,36150,80,86,28610,21547,5490,6804,7333
51897,160,224,32115,19782,5.87014e+18,133.072,2157.39,51897,95,104,51651,51533,40307,44080,47029
15116,126,216,9341,5775,5.86933e+18,97.885,1189.61,15116,75,74,14900,14821,9753,8632,7006
8258,105,126,5073,3185,5.8716e+18,59.4418,819.869,8258,61,64,8132,8132,7575,7824,7638
99412,89,273,61492,37920,5.87017e+18,183.258,3561.82,99412,115,118,98330,97683,46340,42287,50540
33447,60,261,20756,12691,5.87936e+18,192.958,2186.09,33447,146,138,30563,28197,6910,11963,7554
49503,140,269,30876,18627,5.88337e+18,211.755,2764.89,49503,169,169,48353,47221,28589,25779,30368
26611,19,159,16499,10112,5.87e+18,72.6579,1591.47,26611,76,79,18630,11999,3916,5955,4969
88575,15,285,55286,33289,5.88297e+18,245.485,3792.54,88575,198,201,54527,31282,7862,14046,5709
32666,181,250,20184,12482,5.86979e+18,128.726,2016.72,32666,95,96,32400,32246,27042,25561,29422
54975,240,250,33818,21157,5.87045e+18,157.212,2307.06,54975,105,110,54725,54725,53844,54516,54560
67140,100,260,41381,25759,5.87031e+18,129.164,2674.51,67140,96,105,66677,66287,34257,37684,40999
96674,16,302,59628,37046,5.87054e+18,166.916,3362.45,96674,118,128,67299,45559,11254,17419,8784
81718,189,307,50917,30801,5.88512e+18,236.207,3795.04,81718,201,191,81050,80228,56899,60387,59758
48211,188,265,29823,18388,5.87135e+18,164.856,2270.99,48211,109,118,47884,47687,37165,40759,40113
59512,103,203,36678,22834,5.87014e+18,123.464,2446.81,59512,89,94,59181,58941,35925,34157,39500
74524,179,381,46125,28399,5.87071e+18,151.96,3357.39,74524,118,115,74066,73812,65757,66663,66901
80453,272,289,49589,30864,5.87053e+18,145.538,2997.58,80453,102,107,80164,80163,79785,79989,80161
2292,219,1104,1430,862,5.50445e+18,190.497,1448.53,2292,80,91,1115,467,357,379,433
73482,76,273,45145,28337,5.87139e+18,156.129,2762.24,73482,118,125,72157,71194,19856,28948,29842
11150,37,250,6963,4187,5.88309e+18,143.804,1343.46,11150,105,106,8998,7207,2285,3269,2456
4765,109,209,2984,1781,5.87561e+18,110.35,782.458,4765,71,71,4480,4271,2384,2539,2444
3807,391,667,2362,1445,5.77554e+18,115.889,1195.73,3807,113,82,3140,3136,1849,1930,164
91819,200,316,56656,35163,5.87295e+18,191.248,3597.05,91819,148,150,91362,91001,75632,72948,72950
43917,302,306,27271,16646,5.8751e+18,223.947,2554.91,43917,135,142,43611,43610,43583,43589,43605
86355,36,275,53154,33201,5.8743e+18,226.308,3281.74,86355,164,160,77499,69052,11519,23059,15202
87938,260,426,55073,32865,5.88819e+18,241.197,4386.14,87938,204,213,87496,87391,54561,53285,33769
83917,255,426,52325,31592,5.8819e+18,198.463,4462.52,83917,186,189,83477,83380,66242,65215,53374
26549,229,273,16475,10074,5.87483e+18,193.066,1854.32,26549,108,104,26274,26196,24994,25531,25813
52831,17,426,33117,19714,5.88843e+18,229.437,3629.81,52831,183,186,30241,15360,4357,7267,1902
21429,134,204,13249,8180,5.87055e+18,101.496,1585.62,21429,83,83,21225,21149,18721,18471,18916
66239,105,279,40934,25305,5.87002e+18,159.649,2905.38,66239,106,105,65570,65169,37520,32945,35849
25926,237,250,15970,9956,5.87086e+18,116.418,1693.19,25926,86,92,25676,25669,24805,25380,25254
12636,116,143,7810,4826,5.87092e+18,68.7282,1088.17,12636,71,71,12493,12493,11647,12045,10983
87295,276,411,54120,33175,5.87758e+18,183.894,4243.35,87295,176,178,86884,86788,73088,73903,62738
14773,116,135,9077,5696,5.86884e+18,86.7935,1074.91,14773,65,71,14638,14590,13401,14100,14151
17644,96,145,10868,6776,5.86858e+18,90.7,1198.78,17644,69,72,17473,17401,13665,13289,14993
35211,129,217,21654,13557,5.86995e+18,128.579,1786.73,35211,87,91,34943,34730,25359,24043,30441
23475,211,258,14546,8929,5.8781e+18,176.133,1800.79,23475,117,123,23184,23022,19661,21088,20341
64156,239,259,39534,24622,5.87021e+18,133.348,2598.2,64156,95,101,63897,63874,61568,62250,63568
51254,62,226,31539,19715,5.87007e+18,130.775,2168.45,51254,94,99,50295,49713,13043,19672,21612
76077,99,289,47886,28191,5.89592e+18,234.685,3710.21,76077,206,202,70005,62585,27520,26829,31493
47413,120,307,29301,18112,5.87574e+18,227.155,2688.6,47413,149,153,46241,44958,23212,23400,25516
18563,137,154,11435,7128,5.87013e+18,82.1187,1288.45,18563,70,72,18409,18408,17809,18167,17842
4499,63,133,2786,1713,5.86931e+18,58.9509,627.014,4499,54,58,4349,4290,2823,2787,3004
54230,24,226,33542,20688,5.87022e+18,156.129,2241.36,54230,99,105,45216,34833,6982,12317,8829
95922,109,307,59809,36113,5.88606e+18,239.748,4106.54,95922,205,203,91572,86084,37417,38650,39347
46772,163,177,28890,17882,5.87013e+18,104.007,2100.74,46772,82,91,46595,46586,45371,45824,45816
